#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_000964.3",410,1750,"-",939978,"dnaA","BSU_00010","NP_387882.1",446,"chromosomal replication initiator informational ATPase"
"chromosome","NC_000964.3",1939,3075,"-",939970,"dnaN","BSU_00020","NP_387883.1",378,"DNA polymerase III (beta subunit)"
"chromosome","NC_000964.3",3206,3421,"-",939444,"rlbA","BSU_00030","NP_387884.1",71,"RNA binding protein involved in ribosome maturation"
"chromosome","NC_000964.3",3437,4549,"-",939454,"recF","BSU_00040","NP_387885.1",370,"RecA filament-DNA complex stabilisation, ssDNA and dsDNA binding, ATP binding"
"chromosome","NC_000964.3",4567,4812,"-",939466,"remB","BSU_00050","NP_387886.2",81,"regulator of extracellular matrix formation"
"chromosome","NC_000964.3",4867,6783,"-",939456,"gyrB","BSU_00060","NP_387887.1",638,"DNA gyrase (subunit B)"
"chromosome","NC_000964.3",6994,9459,"-",940002,"gyrA","BSU_00070","NP_387888.1",821,"DNA gyrase (subunit A)"
"chromosome","NC_000964.3",14847,15794,"-",939969,"yaaC","BSU_00080","NP_387889.1",315,"conserved protein of unknown function"
"chromosome","NC_000964.3",15915,17381,"-",938032,"guaB","BSU_00090","NP_387890.1",488,"inosine-monophosphate dehydrogenase"
"chromosome","NC_000964.3",17534,18865,"-",940000,"dacA","BSU_00100","NP_387891.1",443,"D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)"
"chromosome","NC_000964.3",19062,19946,"-",939988,"pdxS","BSU_00110","NP_387892.1",294,"glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5\\'-phosphate synthase complex, synthase subunit"
"chromosome","NC_000964.3",19968,20558,"-",939971,"pdxT","BSU_00120","NP_387893.1",196,"glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5\\'-phosphate synthase complex, glutamine amidotransferase subunit PdxT"
"chromosome","NC_000964.3",20880,22157,"-",939994,"serS","BSU_00130","NP_387894.1",425,"seryl-tRNA synthetase"
"chromosome","NC_000964.3",22496,23149,"-",936793,"dck","BSU_00140","NP_387895.1",217,"deoxyadenosine/deoxycytidine kinase"
